"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","D1","Compensation of employees","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,998463,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1026846,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1026483,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1069956,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,1126948,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,1176732,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,1157193,,
"FRA","France","D1","Compensation of employees","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,62434,,
"FRA","France","D1","Compensation of employees","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,70429,,
"FRA","France","D1","Compensation of employees","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,78729,,
"FRA","France","D1","Compensation of employees","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,90584,,
"FRA","France","D1","Compensation of employees","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,108284,,
"FRA","France","D1","Compensation of employees","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,127762,,
"FRA","France","D1","Compensation of employees","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,148592,,
"FRA","France","D1","Compensation of employees","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,168994,,
"FRA","France","D1","Compensation of employees","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,191414,,
"FRA","France","D1","Compensation of employees","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,217398,,
"FRA","France","D1","Compensation of employees","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,249939,,
"FRA","France","D1","Compensation of employees","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,283796,,
"FRA","France","D1","Compensation of employees","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,325576,,
"FRA","France","D1","Compensation of employees","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,357697,,
"FRA","France","D1","Compensation of employees","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,384137,,
"FRA","France","D1","Compensation of employees","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,406582,,
"FRA","France","D1","Compensation of employees","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,426650,,
"FRA","France","D1","Compensation of employees","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,445178,,
"FRA","France","D1","Compensation of employees","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,470148,,
"FRA","France","D1","Compensation of employees","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,500487,,
"FRA","France","D1","Compensation of employees","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,534318,,
"FRA","France","D1","Compensation of employees","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,557854,,
"FRA","France","D1","Compensation of employees","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,579326,,
"FRA","France","D1","Compensation of employees","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,588763,,
"FRA","France","D1","Compensation of employees","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,600828,,
"FRA","France","D1","Compensation of employees","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,622234,,
"FRA","France","D1","Compensation of employees","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,639569,,
"FRA","France","D1","Compensation of employees","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,656177,,
"FRA","France","D1","Compensation of employees","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,681060,,
"FRA","France","D1","Compensation of employees","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,712455,,
"FRA","France","D1","Compensation of employees","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,751506,,
"FRA","France","D1","Compensation of employees","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,785431,,
"FRA","France","D1","Compensation of employees","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,817774,,
"FRA","France","D1","Compensation of employees","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,841720,,
"FRA","France","D1","Compensation of employees","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,871162,,
"FRA","France","D1","Compensation of employees","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,903162,,
"FRA","France","D1","Compensation of employees","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,942012,,
"FRA","France","D1","Compensation of employees","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,979930,,
"FRA","France","D1","Compensation of employees","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,1010192,,
"FRA","France","D1","Compensation of employees","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,1013013,,
"FRA","France","D1","Compensation of employees","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,1040212,,
"FRA","France","D1","Compensation of employees","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,1068929,,
"FRA","France","D1","Compensation of employees","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,1092356,,
"FRA","France","D1","Compensation of employees","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,1109469,,
"FRA","France","D1","Compensation of employees","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,1126701,,
"FRA","France","D1","Compensation of employees","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,1141421,,
"FRA","France","D1","Compensation of employees","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,1163287,,
"FRA","France","D1","Compensation of employees","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,1199841,,
"FRA","France","D1","Compensation of employees","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,1232567,"P","Provisional value"
"FRA","France","D1","Compensation of employees","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1242913,"P","Provisional value"
"FRA","France","D1","Compensation of employees","C","Current prices","2020","2020","EUR","Euro","6","Millions",,,1197053,"P","Provisional value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,205869.422,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,233343.993,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,258707.713,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,294446.994,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,325707.695,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,340338.463,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,367857.708,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,394930.213,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,421622.988,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,456535.797,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,496251.072,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,520430.929,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,536759.312,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,548676.128,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,570153.202,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,592948.162,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,624476.908,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,652833.793,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,680274.859,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,711747.762,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,770103.305,"E","Estimated value"
"DEU","Germany","D1","Compensation of employees","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,853459,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,926427,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,948855,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,974663,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,1011385,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,1020661,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,1024739,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,1046887,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,1077083,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,1120347,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,1138370,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,1145070,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,1148715,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,1152296,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,1150761,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,1170728,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,1204279,,
