"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2006","200","Canadian dollar","1993","Western calendar year","160588000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2006","1000","Canadian dollar","2008","Western calendar year","68122000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2006","200","Canadian dollar","1993","Western calendar year","68122000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2005","1000","Canadian dollar","2008","Western calendar year","153997000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2005","200","Canadian dollar","1993","Western calendar year","155284000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2005","1000","Canadian dollar","2008","Western calendar year","65374000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2005","200","Canadian dollar","1993","Western calendar year","65374000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2004","1000","Canadian dollar","2008","Western calendar year","147399000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2004","200","Canadian dollar","1993","Western calendar year","148822000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2004","100","Canadian dollar                         ","1993","Western calendar year","148682000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2004","1000","Canadian dollar","2008","Western calendar year","62122000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2004","200","Canadian dollar","1993","Western calendar year","62122000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2003","1000","Canadian dollar","2008","Western calendar year","139553000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2003","200","Canadian dollar","1993","Western calendar year","140452000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2003","100","Canadian dollar                         ","1993","Western calendar year","141424000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2003","1000","Canadian dollar","2008","Western calendar year","60404000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2003","200","Canadian dollar","1993","Western calendar year","60404000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2002","1000","Canadian dollar","2008","Western calendar year","136885000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2002","200","Canadian dollar","1993","Western calendar year","138055000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2002","100","Canadian dollar                         ","1993","Western calendar year","138523000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2002","1000","Canadian dollar","2008","Western calendar year","57303000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2002","200","Canadian dollar","1993","Western calendar year","57303000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2002","100","Canadian dollar                         ","1993","Western calendar year","57594000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2001","1000","Canadian dollar","2008","Western calendar year","126315000000",""
